generator;drift_type;size;classifier;detector;accuracy_mean;accuracy_conf;cohen_kappas_mean;cohen_kappas_conf;time_mean;time_conf;memory_mean;memory_conf;drifts_mean;drifts_conf
stagger;gradual;20K;BOLE;RDDM;0.9321;0.0022;0.8597;0.0045;12.5067;0.2771;892791.3984;8629.9104;0.0;0.0
stagger;gradual;20K;BOLE;STEPD;0.8073;0.0066;0.5959;0.0146;28.6267;0.6376;226726.912;2229.5124;0.0;0.0
stagger;gradual;20K;HT;ADWIN;0.764;0.0095;0.5244;0.0161;2.0;0.0;21420.7147;1636.747;14.7333;0.5541
stagger;gradual;20K;HT;BOCD;0.8145;0.0171;0.6243;0.0328;362.6;16.3279;105619565.2267;26971318.6993;12.2667;0.4897
stagger;gradual;20K;HT;CUSUM;0.9247;0.0035;0.8409;0.0071;1.0;0.0;13137.92;2360.4591;4.9333;0.0947
stagger;gradual;20K;HT;DDM;0.9039;0.0119;0.796;0.0253;1.8667;0.1291;15489.024;2227.4803;9.2667;0.6789
stagger;gradual;20K;HT;ECDD;0.9245;0.0062;0.8411;0.0128;2.0;0.0;16123.2213;1242.1414;16.6667;0.8282
stagger;gradual;20K;HT;EDDM;0.9212;0.0133;0.8347;0.0261;1.0;0.0;16238.2507;833.6592;17.2;1.4949
stagger;gradual;20K;HT;GMA;0.7056;0.0031;0.3596;0.009;1.0;0.0;136079.36;0.0;0.0;0.0
stagger;gradual;20K;HT;HDDMA;0.9098;0.0102;0.8107;0.0204;2.0;0.0;14683.136;970.0225;5.7667;0.2718
stagger;gradual;20K;HT;HDDMW;0.9322;0.0029;0.8563;0.0062;2.0;0.0;27480.4053;3415.1749;4.6;0.2703
stagger;gradual;20K;HT;KSWIN;0.7086;0.0024;0.3663;0.0055;8.9667;0.0291;129159.8507;3651.6459;0.1533;0.0667
stagger;gradual;20K;HT;PH;0.9311;0.0024;0.8541;0.0051;1.0;0.0;22300.672;1105.7984;4.0;0.0
stagger;gradual;20K;HT;RDDM;0.9166;0.0113;0.8245;0.0227;2.0;0.0;73646.08;2178.5546;10.9667;0.8174
